Epoch,X,Y,Z
1699060706362,-0.1184082,0.0064086914,0.19787598
1699060706362,-0.12756348,0.06317139,0.09875488
1699060706362,-0.14276123,0.09844971,-0.0065307617
1699060706415,-0.14642334,0.1171875,-0.11682129
1699060706415,-0.1505127,0.14227295,-0.21972656
1699060706415,-0.15124512,0.15246582,-0.32531738
1699060706416,-0.15686035,0.13787842,-0.39013672
1699060706505,-0.16790771,0.13171387,-0.4342041
1699060706507,-0.17449951,0.11138916,-0.4852295
1699060706507,-0.17321777,0.073791504,-0.5072632
1699060706508,-0.17663574,0.045043945,-0.5192261
1699060706536,-0.17633057,0.022521973,-0.5378418
1699060706536,-0.15899658,0.0068969727,-0.5496216
1699060706536,-0.14715576,0.010864258,-0.5581665
1699060706537,-0.124572754,0.008056641,-0.55358887
1699060706597,-0.11657715,-0.015014648,-0.5131836
1699060706597,-0.11193848,-0.04034424,-0.45288086
1699060706597,-0.124816895,-0.090148926,-0.37713623
1699060706597,-0.16125488,-0.16351318,-0.2715454
1699060706597,-0.19543457,-0.23718262,-0.13458252
1699060706597,-0.21936035,-0.29711914,0.012023926
1699060706601,-0.23382568,-0.31359863,0.16668701
1699060706601,-0.22406006,-0.25738525,0.2678833
1699060706601,-0.16741943,-0.18835449,0.30480957
1699060706601,-0.09661865,-0.13995361,0.36401367
1699060706601,-0.10040283,-0.22631836,0.5341797
1699060706601,-0.11981201,-0.36016846,0.7190552
1699060706602,-0.16998291,-0.5036621,0.8903198
1699060706656,-0.24389648,-0.5812378,1.1168823
1699060706657,-0.24945068,-0.71698,1.2095947
1699060706657,-0.20684814,-0.84710693,1.1584473
1699060706658,-0.16607666,-0.92108154,1.2072144
1699060706658,-0.14978027,-1.0991821,1.3234863
1699060706745,-0.25683594,-1.2598877,1.3446655
1699060706746,-0.29156494,-1.3907471,1.3429565
1699060706746,-0.2345581,-1.5376587,1.416687
1699060706747,-0.25964355,-1.6613159,1.4153442
1699060706777,-0.25219727,-1.7782593,1.4243164
1699060706777,-0.24395752,-1.8859863,1.4664917
1699060706777,-0.25689697,-1.9832764,1.5059204
1699060706777,-0.286438,-2.0,1.5388794
1699060706837,-0.31054688,-1.9993896,1.5712891
1699060706837,-0.31811523,-1.9994507,1.5697632
1699060706837,-0.29577637,-2.0,1.5715942
1699060706837,-0.23077393,-1.9970093,1.5391235
1699060706838,-0.1552124,-1.8935547,1.4937134
1699060706838,-0.101135254,-1.7105713,1.4628296
1699060706896,-0.103759766,-1.5378418,1.4226685
1699060706896,-0.1352539,-1.3918457,1.3671265
1699060706896,-0.11553955,-1.3010864,1.3140259
1699060706897,-0.09265137,-1.2415771,1.2218628
1699060706898,-0.12042236,-1.1713867,1.1688232
1699060706898,-0.12994385,-1.1062012,1.1734619
1699060706898,-0.09484863,-1.0428467,1.2334595
1699060706898,-0.12420654,-0.95477295,1.2279663
1699060706898,-0.15966797,-0.8544922,1.1453857
1699060706899,-0.17047119,-0.7110596,1.0336304
1699060706900,-0.16967773,-0.54229736,0.89501953
1699060706985,-0.15356445,-0.37445068,0.75354004
1699060706988,-0.1293335,-0.24719238,0.61187744
1699060706988,-0.12322998,-0.12982178,0.4993286
1699060706988,-0.13024902,0.0064697266,0.3795166
1699060707016,-0.14245605,0.11633301,0.25671387
1699060707016,-0.14099121,0.16412354,0.14990234
1699060707019,-0.144104,0.18969727,0.02935791
1699060707019,-0.16882324,0.16699219,-0.1003418
1699060707019,-0.19067383,0.14959717,-0.19689941
1699060707019,-0.20758057,0.14953613,-0.2962036
1699060707019,-0.22772217,0.1595459,-0.39019775
1699060707076,-0.24749756,0.18463135,-0.47662354
1699060707076,-0.24536133,0.17297363,-0.54608154
1699060707076,-0.21844482,0.16540527,-0.59490967
1699060707076,-0.21295166,0.17669678,-0.62323
1699060707137,-0.20495605,0.17669678,-0.64453125
1699060707137,-0.20220947,0.15997314,-0.6589966
1699060707137,-0.18511963,0.11413574,-0.63983154
1699060707137,-0.20281982,0.062927246,-0.6022949
1699060707137,-0.2062378,0.023925781,-0.543396
1699060707138,-0.22784424,-0.043884277,-0.47729492
1699060707138,-0.262146,-0.12841797,-0.3842163
1699060707138,-0.269104,-0.15588379,-0.27270508
1699060707226,-0.27520752,-0.16467285,-0.1741333
1699060707226,-0.25427246,-0.17755127,-0.06903076
1699060707226,-0.24108887,-0.1852417,0.05822754
1699060707227,-0.26696777,-0.19519043,0.2006836
1699060707317,-0.28759766,-0.19836426,0.3320923
1699060707317,-0.2932129,-0.1730957,0.45446777
1699060707317,-0.28167725,-0.13452148,0.58599854
1699060707317,-0.25476074,-0.099731445,0.71881104
1699060707318,-0.13183594,-0.06604004,0.8051758
1699060707376,0.06518555,-0.14916992,0.96099854
1699060707376,0.19671631,-0.432312,1.1594849
1699060707376,0.07598877,-0.7046509,1.43219
1699060707379,-0.11505127,-0.93255615,1.8261108
1699060707379,-0.22125244,-1.5438843,1.9503174
1699060707379,-0.45843506,-1.3722534,1.8912354
1699060707379,-0.091552734,-1.6364136,1.9195557
1699060707379,0.20184326,-1.6566162,1.8671265
1699060707379,0.064819336,-1.6953125,1.7861938
1699060707382,0.039489746,-1.829956,1.72052
1699060707382,0.07147217,-1.9611206,1.8458862
1699060707382,0.023376465,-2.0,1.8585815
1699060707382,-0.06097412,-1.9997559,1.8808594
1699060707467,-0.09698486,-1.9989014,1.8018799
1699060707467,-0.09832764,-1.9904175,1.6528931
1699060707467,-0.057434082,-1.8494873,1.428894
1699060707467,0.026855469,-1.6252441,1.3300781
1699060707496,0.09777832,-1.4501953,1.40271
1699060707557,0.12628174,-1.3044434,1.4783936
1699060707557,0.0657959,-1.2113647,1.3545532
1699060707557,0.083618164,-1.2403564,1.3641357
1699060707557,0.049194336,-1.0371704,1.3296509
1699060707557,0.0037841797,-0.80718994,1.2672119
1699060707557,0.018066406,-0.7131958,1.2711182
1699060707559,-0.0126953125,-0.63079834,1.1715698
1699060707562,-0.012084961,-0.5834961,1.0996094
1699060707562,-0.029907227,-0.5422363,0.99560547
1699060707562,-0.057922363,-0.47198486,0.8773804
1699060707562,-0.035583496,-0.3703003,0.7852173
1699060707562,-0.01977539,-0.26605225,0.67126465
1699060707562,-0.043395996,-0.16723633,0.55859375
1699060707564,-0.07171631,-0.09277344,0.44769287
1699060707617,-0.07220459,-0.036743164,0.34552002
1699060707617,-0.08514404,0.009033203,0.22131348
1699060707617,-0.093688965,0.021484375,0.10107422
1699060707619,-0.11621094,0.015136719,-0.016845703
1699060707619,-0.15197754,0.019165039,-0.11669922
1699060707619,-0.18017578,0.04284668,-0.20776367
1699060707619,-0.19415283,0.05731201,-0.28570557
1699060707619,-0.21105957,0.06335449,-0.36346436
1699060707704,-0.23284912,0.070739746,-0.43572998
1699060707704,-0.25146484,0.068115234,-0.4854126
1699060707707,-0.27178955,0.07122803,-0.5150757
1699060707707,-0.2734375,0.08477783,-0.54345703
